"date","time","str","Tmeanc","Rhu_mean","Wind_mean","PM2.5","M8H_O3","dow"
"2013/6/1",1,0,24.4,63.8,2.2,150.8,107.5,6
"2013/6/2",2,0,25.4,66.2,1,162.9,95,7
"2013/6/3",3,0,26.4,60.4,2.7,222.3,69.8,1
"2013/6/4",4,0,24,73.9,3.2,239.8,65.1,2
"2013/6/5",5,0,24.6,64.7,1.1,146.8,102.6,3
"2013/6/6",6,0,25.9,64.6,1.6,246,50.3,4
"2013/6/7",7,0,23.9,82.9,2.3,189.7,32.5,5
"2013/6/8",8,3,23,85.1,1.1,204.3,28.3,6
"2013/6/9",9,3,17,88.1,1.1,99,29,7
"2013/6/10",10,0,19.3,67.8,1.9,33.5,65.8,1
"2013/6/11",11,0,20.6,62.8,3.3,48.8,64.2,2
"2013/6/12",12,0,22.2,67.4,1.9,80.3,88.5,3
"2013/6/13",13,0,24.2,51.4,0.6,115.2,149.6,4
"2013/6/14",14,0,24.6,55.6,2.2,107.2,142.5,5
"2013/6/15",15,3,26.7,61.4,4.7,140.3,142.3,6
"2013/6/16",16,0,28.2,63.9,3,241.8,141.9,7
"2013/6/17",17,0,23.9,75.1,1.9,225.8,78,1
"2013/6/18",18,0,25.8,69.1,2.6,103.1,59.8,2
"2013/6/19",19,0,25.5,64.6,2.5,143.2,63.7,3
"2013/6/20",20,0,23.5,69,0.9,24.4,51,4
"2013/6/21",21,0,19.6,91.5,2.8,60.9,43.2,5
"2013/6/22",22,0,19.2,90.1,1.7,28.2,63.9,6
"2013/6/23",23,0,24.4,71.7,2.9,33.8,81.5,7
"2013/6/24",24,0,26,78.7,3.4,103.6,100,1
"2013/6/25",25,0,26.4,78.8,4.2,166,78.6,2
"2013/6/26",26,0,27.5,62.4,2.9,64.6,93.3,3
"2013/6/27",27,0,27.8,66.9,1.9,51.2,129.3,4
"2013/6/28",28,0,28.6,62,1.9,144.3,107.3,5
"2013/6/29",29,0,28.5,61.6,2.6,60.9,135.2,6
"2013/6/30",30,0,28.7,67.3,1.1,98,86.1,7
"2013/7/1",31,0,27.7,84,1.4,112.5,37,1
"2013/7/2",32,0,27.5,55.7,2.2,28.9,49.9,2
"2013/7/3",33,0,30.5,59.4,1.9,29,92.1,3
"2013/7/4",34,0,28,65.8,3.5,66.6,101.8,4
"2013/7/5",35,3,28.7,57.8,0.7,32.9,110.3,5
"2013/7/6",36,0,30,60.5,2.3,61.8,119.2,6
"2013/7/7",37,0,30.8,59.4,2.2,65.6,114.3,7
"2013/7/8",38,0,28.4,78.3,0.6,138.2,44.1,1
"2013/7/9",39,0,22.7,90.9,2.1,33,77,2
"2013/7/10",40,0,21.9,90.2,2.2,28.7,65.7,3
"2013/7/11",41,0,22.4,86.4,1.2,32.7,72.7,4
"2013/7/12",42,0,23,87.6,2.2,81.2,26.8,5
"2013/7/13",43,0,24.8,78.2,1,140.9,17.3,6
"2013/7/14",44,0,24.2,84.9,1.5,52.7,42.8,7
"2013/7/15",45,0,24.9,90,2.5,97,44.4,1
"2013/7/16",46,0,26.5,60.6,2.4,30.6,60.4,2
"2013/7/17",47,0,26.1,67.6,1.8,45.5,91,3
"2013/7/18",48,0,21.8,87.1,2.3,72.9,42.8,4
"2013/7/19",49,0,24.8,79.9,2.7,107.3,83.4,5
"2013/7/20",50,0,26.9,77.5,1.4,144.4,84.4,6
"2013/7/21",51,0,26.5,74.7,2.7,125.9,69.9,7
"2013/7/22",52,0,23.6,79.7,1.9,79.4,22.9,1
"2013/7/23",53,0,24.9,73.4,1.2,37,2.1,2
"2013/7/24",54,0,28.5,75.6,2,87,2.1,3
"2013/7/25",55,0,27.6,80.3,2.5,113.1,72.4,4
"2013/7/26",56,0,25,81.7,2.5,80,39.4,5
"2013/7/27",57,0,26.7,86.1,3.3,124.1,46.3,6
"2013/7/28",58,0,29,69.8,1.7,83,54.6,7
"2013/7/29",59,0,25.2,76.2,1.5,43.2,15.7,1
"2013/7/30",60,0,28.6,74.9,2.8,45.2,89,2
"2013/7/31",61,0,28.3,80.3,1.5,118,87,3
"2013/8/1",62,0,25.5,86.5,0.9,52.2,62,4
"2013/8/2",63,0,26,83.3,1,131.6,66.9,5
"2013/8/3",64,0,27.7,82.2,1.1,59.3,96.7,6
"2013/8/4",65,0,29.4,78,2.5,140.3,92.6,7
"2013/8/5",66,0,29.3,78.9,1.6,58.5,76.6,1
"2013/8/6",67,0,28.8,82.8,1.4,123.4,72.5,2
"2013/8/7",68,0,25.5,88.1,0.6,100.9,41,3
"2013/8/8",69,0,27.7,73.7,1.8,55.3,55.7,4
"2013/8/9",70,0,28.6,75.1,1.4,99,14.6,5
"2013/8/10",71,0,29.1,78.3,1.4,125.9,93.6,6
"2013/8/11",72,0,26.2,88.6,6.6,154.9,27.8,7
"2013/8/12",73,0,27,85.6,6.5,58.9,33.8,1
"2013/8/13",74,0,27.2,83.8,2.6,116.5,57.8,2
"2013/8/14",75,0,28.4,83.5,1.1,75.4,90,3
"2013/8/15",76,0,29.6,81.4,1.2,139.5,91.5,4
"2013/8/16",77,0,30.9,76,4.2,136,81.3,5
"2013/8/17",78,0,28.8,62.9,2.7,30.1,49.6,6
"2013/8/18",79,0,26,62.5,2.3,24,77.2,7
"2013/8/19",80,0,26,62.3,2.7,39.4,74.7,1
"2013/8/20",81,0,26.2,61.5,0.3,60.6,88.7,2
"2013/8/21",82,0,26.7,69.7,1.9,92.2,81.4,3
"2013/8/22",83,0,27.2,74.5,2.3,121.5,42.6,4
"2013/8/23",84,0,25.6,66.9,0.5,90.9,44.5,5
"2013/8/24",85,0,25.6,64.7,1.7,37.4,49.9,6
"2013/8/25",86,0,25.6,55.9,2.2,33.7,48.6,7
"2013/8/26",87,0,27.6,60.8,1.4,50.8,93.1,1
"2013/8/27",88,0,26.9,70,1.9,131,59.8,2
"2013/8/28",89,0,28,53,4.4,71,34.8,3
"2013/8/29",90,0,25.6,39,3.1,24,61.8,4
"2013/8/30",91,0,20.4,61.1,0.5,12,61,5
"2013/8/31",92,0,22.6,51.3,2.6,29.6,53,6
